"Id";"Description"
1;"Accountancy, banking and finance"
2;"Business, consulting and management"
3;"Charity and voluntary work"
4;"Creative arts and design"
5;"Energy and utilities"
6;"Engineering and manufacturing"
7;"Environment and agriculture"
8;"Healthcare"
9;"Hospitality and avents management"
10;"Information technology"
11;"Law"
12;"Law enforcement and security"
13;"Leisure, sport and tourism"
14;"Marketing. advertising and PR"
15;"Media and internet"
16;"Property and construction"
17;"Public services and administration"
18;"Recruitment and HR"
19;"Retail"
20;"Sales"
21;"Science and pharmaceutics"
22;"Social care"
23;"Teacher training and education"
24;"Transport and logistics"
